cod_dpto,cod_mpio,Municipios,NBI
73,352,Icononzo,43.06
73,408,Lérida,29.28
73,411,Líbano,31.83
73,443,Mariquita,35.74
73,449,Melgar,35.85
73,461,Murillo,46.89
73,483,Natagaima,59.18
73,504,Ortega,72.44
73,520,Palocabildo64,47.40
73,547,Piedras,47.14
73,555,Planadas,66.43
73,563,Prado,43.36
73,585,Purificación,41.78
73,616,Rioblanco,68.53
73,622,Roncesvalles,46.32
73,624,Rovira,58.05
73,671,Saldaña,37.87
73,675,San Antonio,57.95
73,678,San Luis,58.34
73,686,Santa Isabel,45.90
73,770,Suárez,61.30
73,854,Valle de San Juan,58.14
73,861,Venadillo,41.85
73,870,Villahermosa,40.88
73,873,Villarrica,41.36
76,001,Cali,20.64
76,020,Alcalá,37.55
76,036,Andalucía,27.34
76,041,Ansermanuevo,40.33
76,054,Argelia,31.31
76,100,Bolívar,35.95
76,109,Buenaventura,36.04
76,111,Buga,21.30
76,113,Bugalagrande,29.06
76,122,Caicedonia,29.47
76,126,Calima (Darien),29.89
76,130,Candelaria,28.37
76,147,Cartago,22.37
76,233,Dagua,35.28
76,243,El Aguila,35.69
76,246,El Cairo,38.69
76,248,El Cerrito,27.97
76,250,El Dovio,39.53
76,275,Florida,33.00
76,306,Ginebra,34.06
76,318,Guacari,27.90
76,364,Jamundí,27.69
76,377,La Cumbre,28.45
76,400,La Unión,29.98
76,403,La Victoria,34.25
76,497,Obando,41.07
76,520,Palmira,21.62
76,563,Pradera,35.86
76,606,Restrepo,37.03
76,616,Riofrío,39.72
76,622,Roldanillo,27.96
76,670,San Pedro,29.82
76,736,Sevilla,28.20
76,823,Toro,32.78
76,828,Trujillo,30.41
76,834,Tulúa,24.24
76,845,Ulloa,35.67
76,863,Versalles,36.37
76,869,Vijes,34.75
76,890,Yotoco,31.12
76,892,Yumbo,30.68
76,895,Zarzal,25.00
97,001,Mitu65,100.00
97,161,Carurú,100.00
97,511,CD. Pacoa,100.00
97,666,Taraira,100.00
97,777,CD. Papunaua,100.00
97,889,CD. Yavarate,100.00
,,Villa Fátima*,
,,Acaricuara*,
99,001,Puerto Carreño,56.72
99,524,La Primavera,85.81
99,624,Santa Rosalía,100.00
99,773,Cumaribo66,100.00
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
